feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
GGB9238	week	day12	-0.083333333333331	0.0589255653132835	48	1	0.166665132017084	0.243221485114841
GGB9238	week	day4	-0.083333333333331	0.0589255653132835	48	1	0.166665132014974	0.243221485114841
GGB9238	week	day8	-0.083333333333331	0.0589255653132835	48	1	0.166665132018248	0.243221485114841
GGB9239	week	day12	-0.0833333333333286	0.0589255653149236	48	1	0.166665132023929	0.243221485114841
GGB9239	week	day4	-0.0833333333333286	0.0589255653149236	48	1	0.166665132025245	0.243221485114841
GGB9239	week	day8	-0.0833333333333286	0.0589255653149236	48	1	0.166665132022673	0.243221485114841
GGB9243	week	day12	-0.0833333333333168	0.0589255653152104	48	1	0.166665132009991	0.243221485114841
GGB9243	week	day4	-0.0833333333333168	0.0589255653152104	48	1	0.166665132008879	0.243221485114841
GGB9243	week	day8	-0.0833333333333168	0.0589255653152104	48	1	0.166665132009342	0.243221485114841
GGB9253	week	day12	-0.083333333333338	0.0589255653152787	48	1	0.166665131948961	0.243221485114841
GGB9253	week	day4	-0.083333333333338	0.0589255653152787	48	1	0.166665131944734	0.243221485114841
GGB9253	week	day8	-0.083333333333338	0.0589255653152787	48	1	0.166665131948499	0.243221485114841
GGB9261	week	day12	-0.0833333333333475	0.0589255653164005	48	1	0.16666513198985	0.243221485114841
GGB9261	week	day4	-0.0833333333333475	0.0589255653164005	48	1	0.166665131990138	0.243221485114841
GGB9261	week	day8	-0.0833333333333476	0.0589255653164005	48	1	0.166665131989682	0.243221485114841
GGB9263	week	day12	-0.541514128784139	0.323984532769726	48	2	0.104096867794082	0.243221485114841
GGB9263	week	day4	-0.541514128784139	0.323984532769726	48	2	0.104096867794486	0.243221485114841
GGB9263	week	day8	-0.541514128784139	0.323984532769726	48	2	0.104096867793274	0.243221485114841
GGB9267	week	day12	-0.0833333333333239	0.0589255653176508	48	1	0.166665131978062	0.243221485114841
GGB9267	week	day4	-0.0833333333333239	0.0589255653176508	48	1	0.166665131978234	0.243221485114841
GGB9267	week	day8	-0.0833333333333238	0.0589255653176508	48	1	0.16666513197739	0.243221485114841
GGB9271	week	day12	-0.0833333333333333	0.0589255653155763	48	1	0.166665132002585	0.243221485114841
GGB9271	week	day4	-0.0833333333333333	0.0589255653155763	48	1	0.16666513200261	0.243221485114841
GGB9271	week	day8	-0.0833333333333333	0.0589255653155763	48	1	0.16666513200282	0.243221485114841
GGB9279	week	day12	-0.083333333333328	0.0589255653154582	48	1	0.166665131999547	0.243221485114841
GGB9279	week	day4	-0.083333333333328	0.0589255653154582	48	1	0.166665132000964	0.243221485114841
GGB9279	week	day8	-0.083333333333328	0.0589255653154582	48	1	0.16666513199816	0.243221485114841
